collection,title,scielo_issn,publisher_name,current_status,subject_areas,mission
scl,Caderno de Estudos,1413-9251,"['Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras']",deceased,Applied Social Sciences,"{'es': 'La misión del Cadernos de Estudos es la divulgación de producción científica relevante en el área de Contabilidad, Contraloría, Actuaría y Finanzas, producida por profesores, investigadores, alumnos y profesionales de Brasil y del extranjero, seleccionada exclusivamente basado en calidad y contribución efectiva al desarrollo del conocimiento en ese campo, a la luz de opiniones de evaluadores.', 'pt': 'A Cadernos de Estudos  tem como missão a divulgação de produção científica relevante na área de Contabilidade, Controladoria, Atuária e Finanças, produzida por professores, pesquisadores, alunos e profissionais do Brasil e do exterior, selecionada exclusivamente com base em qualidade e efetiva contribuição para o desenvolvimento do conhecimento nesse campo, à luz de pareceres de avaliadores.', 'en': 'The mission of Cadernos de Estudos is to disseminate relevant scientific production in Accountancy, Controllership, Actuarial Science and Finance, produced by Brazilian and international faculty, researchers, students and professionals, exclusively selected based on quality and actual contribution to knowledge development in this field, subject to blind review.'}"
scl,Fitopatologia Brasileira,0100-4158,['Sociedade Brasileira de Fitopatologia'],deceased,Agricultural Sciences,"{'es': 'Publicar artículos técnico-científicos, en portugués, inglés o español, que describan pesquisas originales en Fitopatología y contribuyan significativamente para su desarrollo.', 'pt': 'Publicar artigos técnico-cientificos, em português, inglês ou espanhol, que descrevam pesquisas originais em Fitopatologia e contribuam significativamente para seu desenvolvimento.', 'en': 'To publish technical and scientific articles that describe original research in the area of Plant Pathology that may contribute significantly to its progress, in Portuguese, English or Spanish.'}"
scl,Brazilian Journal of Genetics,0100-8455,['Sociedade Brasileira de Genética'],deceased,Biological Sciences,"{'es': 'Publicar los resultados de investigaciones originales sobre evolución y genética y su aplicación para el mejoramiento de plantas, animales y del bienestar humano', 'pt': 'Publicar os resultados de pesquisas originais nas áreas de evolução e genética, bem como sua aplicação no aperfeiçoamento de plantas, animais e do bem-estar de seres humanos', 'en': 'To publish the results of original research in evolution and genetics and their application to the improvement of plants, animals and human well-being'}"
scl,São Paulo em Perspectiva,0102-8839,['Fundação SEADE'],suspended,"Applied Social Sciences, Human Sciences","{'es': 'Divulgar artículos con análisis conjunturales y estruturales de los fenómenos económicos, sociales y políticos, en diversos ámbitos - del local al internacional.', 'pt': 'Divulgar artigos com análises conjunturais e estruturais dos fenômenos econômicos, sociais e políticos, em diversos âmbitos - do local ao internacional.', 'en': 'To publish articles with conjectural and structural analyses of the economic, social and political phenomena, in various areas -from local to international.'}"
scl,Economia Aplicada,1413-8050,"['Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto da Universidade de São Paulo']",suspended,Applied Social Sciences,"{'es': 'Divulgación de investigaciones económicas aplicadas a problemas concretos, tanto de interés del sector público como privado, y que contengan, especialmente, estudios cuantitativos, cuyos resultados puedan aproximar la teoría de la realidad.', 'pt': 'Divulgação de trabalhos de análise econômica aplicada a problemas específicos, tanto de interesse do setor público como privado, e que contenham, particularmente, estudos quantitativos, cujos resultados possam aproximar a teoria da realidade.', 'en': 'The aims of the Journal is to publish papers with economic analysis applied to specific problems of interest either to public or private sector, especially with quantitative results bringing theory and reality closer.'}"
scl,Psicologia Clínica,0103-5665,['Departamento de Psicologia da Pontifícia Universidade Católica do Rio de Janeiro'],suspended,Human Sciences,"{'es': 'Divulgar trabajos originales en el área de la psicología clínica, y contribuir para la calidad de la producción y la consolidación de este campo en Brasil.', 'pt': 'Divulgar trabalhos originais na área da Psicologia Clínica, contribuindo  para a qualidade da produção e para a consolidação desse campo no Brasil.', 'en': 'To publish original papers in the area of Psicologia Clínica, contributing for the good quality of the scientific production and the consolidation of this field in Brazil.'}"
scl,Afro-Ásia,0002-0591,['Universidade Federal da Bahia'],suspended,Human Sciences,"{'es': 'Divulgar estudios y resultados de investigaciones relativas a las poblaciones africanas, asiáticas y sus descendientes en Brasil y en otras partes.', 'pt': 'Divulgar estudos e resultados de pesquisas relativos a populações africanas, asiáticas e seus descendentes no Brasil e alhures.', 'en': 'To publish studies and research results related to African and Asian populations and their descendants in Brazil and beyond.'}"
scl,Revista Brasileira de Cardiologia Invasiva,2179-8397,['Sociedade Brasileira de Hemodinâmica e Cardiologia Intervencionista - SBHCI'],suspended,Health Sciences,"{'es': 'La Revista Brasileira de Cardiologia Invasiva (RBCI) se dedica a publicar artículos relacionados a la intervención percutánea en enfermedades cardíacas (coronarias y no-coronarias), periféricas y cerebrovasculares. También se considerarán para publicación los manuscritos que exploran aspectos farmacológicos, fisiopatológicos y diagnósticos vinculados a la intervención  percutánea en enfermedades cardiovasculares. A pesar de que otras disciplinas también presentan aspectos relacionados en alguna forma a dicha especialidad, la RBCI no pretende publicar manuscritos vinculados a electrofisiología o cirugía cardíaca.', 'pt': 'A Revista Brasileira de Cardiologia Invasiva (RBCI) está voltada à publicação de artigos relacionados à intervenção percutânea em doenças cardíacas (coronárias e não-coronárias), periféricas e cerebrovasculares. Manuscritos que exploram aspectos farmacológicos, fisiopatológicos e diagnósticos ligados à intervenção percutânea em doenças cardiovasculares também são considerados para publicação. Embora outras disciplinas apresentem aspectos de alguma forma relacionados à especialidade, não é intenção da RBCI publicar manuscritos ligados à eletrofisiologia ou à cirurgia cardíaca.', 'en': 'The Revista Brasileira de Cardiologia Invasiva (RBCI)  is directed for the publication of articles related to percutaneous intervention in heart (coronary and non coronary), peripheral and cerebrovascular diseases. Manuscripts that exploit pharmacological, physiopathological and diagnostic aspects related to percutaneous intervention in cardiovascular diseases are also considered for publication.  Although other disciplines present aspects somehow related to this specialty, it is not the intention of RBCI to publish manuscripts related to electrophysiology or to heart surgery.'}"
scl,Psychology & Neuroscience,1983-3288,"['Pontificia Universidade Católica do Rio de Janeiro', 'Universidade de Brasília', 'Universidade de São Paulo']",suspended,"Health Sciences, Human Sciences","{'es': 'Revista online, con revisión por pares, de Acceso Abierto, que publica artículos de todas las áreas de intersección entre Psicología y Neurociências.', 'pt': 'Publicar em Acesso Aberto artigos abrangendo todas as áreas de intersecção entre psicologia e neurociência.', 'en': 'Open Access journal, peer-reviewed, online journal publishing articles encompassing all intersection areas between psychology and neurosciences.'}"
scl,Journal of the Brazilian Computer Society,0104-6500,['Sociedade Brasileira de Computação'],suspended,Exact and Earth Sciences,"{'es': 'El objetivo de la revista es publicar artículos de investigación originales que sirvan como forum para diseminar investigaciones innovadoras en todos los aspectos de la ciencia de la computación', 'pt': 'O objetivo da revista é publicar trabalhos originais de pesquisa, servindo como um fórum para disseminar pesquisas inovadoras em todos os aspectos da ciência da computação', 'en': 'The aim of the journal is to publish original research papers, serving as a forum for disseminating innovative research in all aspects of computer science'}"
